Serial,Movie-1,Movie-2,Movie-3,Movie-4,Movie-5,Movie-6,Movie-7,Movie-8,Movie-9,Movie-10,Movie-11,Movie-12,Movie-13,Movie-14,Movie-15
15,Hatching,Arthur,The Exorcist,Life in a Year,My Spy,Please Don't Save Me,What the Peeper Saw,Jackass Presents: Bad Grandpa,Demolition,Blood: The Last Vampire,Satan's Slaves,The Deep End of the Ocean,Psychosexual,The Little Rascals,Senior Year
16,Demolition,Blue Is the Warmest Color,Norbit,Good Luck Chuck,The Tourist,Into the Deep,A Dog's Journey,Balik Taya,Hatching,Playing It Cool,Delicious Tutor,Barbie as The Princess & the Pauper,Don't Blame the Kid,Colonia,Run to You
17,Demolition,Blue Is the Warmest Color,Norbit,Good Luck Chuck,The Tourist,Into the Deep,A Dog's Journey,Balik Taya,Hatching,Playing It Cool,Delicious Tutor,Barbie as The Princess & the Pauper,Don't Blame the Kid,Colonia,Run to You
18,It's a Wonderful Binge,Booksmart,Barely Legal,Moms' Night Out,American Pie Presents: The Book of Love,The Change-Up,Die neuen Abenteuer des Sanitätsgefreiten Neumann,"Surfer, Dude",Fading Gigolo,Sisters,If I Were a Boy,Jack and Jill,Wai's Romance,Meet the Spartans,Serial (Bad) Weddings
19,Shanghai Fortress,Jarhead: Law of Return,Operation Overlord,Jarhead: Law of Return,Dragon Fury,Dead Again in Tombstone,Rescue Dawn,Michael Jackson: The Life of an Icon,Illang: The Wolf Brigade,Behind Enemy Lines,Into the White,Special Forces,WarHunt,Transfusion,Horizon Line
20,Hatching,Arthur,The Exorcist,Life in a Year,My Spy,Please Don't Save Me,What the Peeper Saw,Jackass Presents: Bad Grandpa,Demolition,Blood: The Last Vampire,Satan's Slaves,The Deep End of the Ocean,Psychosexual,The Little Rascals,Senior Year
21,Rio Bravo,Rio Lobo,Chisum,True Grit,"The Good, the Bad and the Ugly",High Noon,The Outlaw Josey Wales,"Duck, You Sucker",Pale Rider,The Wild Bunch,Quigley Down Under,The Power of the Dog,Hell Bent for Leather,Broken Arrow,The Last Manhunt
22,La conjura de El Escorial,Jesus,The 300 Spartans,The First King,The Sin of Adam and Eve,The 300 Spartans,Balkan Line,The Men Who Stare at Goats,300,Furious,300: Rise of an Empire,Dunkirk,"The Good, the Bad, the Weird",Fist of the North Star: Legend of Raoh - Chapter of Death in Love,Alexander
23,La conjura de El Escorial,Jesus,The 300 Spartans,The First King,The Sin of Adam and Eve,The First King,Why Women Cheat,Out of the Furnace,The Mad Women's Ball,Fullmetal Alchemist: The Final Alchemy,The Second Coming of Christ,Idol Sex: LA Korean Women,Uncharted,Super Mario Brothers: Great Mission to Rescue Princess Peach,Paradise Alley
24,Uncharted,Sophie's Choice,Barbie & Her Sisters in the Great Puppy Adventure,Inkheart,Kung Fu Yoga,Antlers,Good Mother 3,Journey to the Center of the Earth,Twist,Grimsby,Breakin',The First King,The Rugrats Movie,Finding ʻOhana,Wall Street: Money Never Sleeps
25,Uncharted,Sophie's Choice,Barbie & Her Sisters in the Great Puppy Adventure,Inkheart,Kung Fu Yoga,Antlers,Good Mother 3,Journey to the Center of the Earth,Twist,Grimsby,Breakin',The First King,The Rugrats Movie,Finding ʻOhana,Wall Street: Money Never Sleeps
26,Uncharted,Sophie's Choice,Barbie & Her Sisters in the Great Puppy Adventure,Inkheart,Kung Fu Yoga,Antlers,Good Mother 3,Journey to the Center of the Earth,Twist,Grimsby,Breakin',The First King,The Rugrats Movie,Finding ʻOhana,Wall Street: Money Never Sleeps
27,Uncharted,Sophie's Choice,Barbie & Her Sisters in the Great Puppy Adventure,Inkheart,Kung Fu Yoga,Antlers,Good Mother 3,Journey to the Center of the Earth,Twist,Grimsby,Breakin',The First King,The Rugrats Movie,Finding ʻOhana,Wall Street: Money Never Sleeps
28,Uncharted,Sophie's Choice,Barbie & Her Sisters in the Great Puppy Adventure,Inkheart,Kung Fu Yoga,Antlers,Good Mother 3,Journey to the Center of the Earth,Twist,Grimsby,Breakin',The First King,The Rugrats Movie,Finding ʻOhana,Wall Street: Money Never Sleeps
29,Uncharted,Sophie's Choice,Barbie & Her Sisters in the Great Puppy Adventure,Inkheart,Kung Fu Yoga,Antlers,Good Mother 3,Journey to the Center of the Earth,Twist,Grimsby,Breakin',The First King,The Rugrats Movie,Finding ʻOhana,Wall Street: Money Never Sleeps
30,Uncharted,Sophie's Choice,Barbie & Her Sisters in the Great Puppy Adventure,Inkheart,Kung Fu Yoga,Antlers,Good Mother 3,Journey to the Center of the Earth,Twist,Grimsby,Breakin',The First King,The Rugrats Movie,Finding ʻOhana,Wall Street: Money Never Sleeps
31,Uncharted,Sophie's Choice,Barbie & Her Sisters in the Great Puppy Adventure,Inkheart,Kung Fu Yoga,Antlers,Good Mother 3,Journey to the Center of the Earth,Twist,Grimsby,Breakin',The First King,The Rugrats Movie,Finding ʻOhana,Wall Street: Money Never Sleeps
32,Uncharted,Sophie's Choice,Barbie & Her Sisters in the Great Puppy Adventure,Inkheart,Kung Fu Yoga,Antlers,Good Mother 3,Journey to the Center of the Earth,Twist,Grimsby,Breakin',The First King,The Rugrats Movie,Finding ʻOhana,Wall Street: Money Never Sleeps
33,Uncharted,Sophie's Choice,Barbie & Her Sisters in the Great Puppy Adventure,Inkheart,Kung Fu Yoga,Antlers,Good Mother 3,Journey to the Center of the Earth,Twist,Grimsby,Breakin',The First King,The Rugrats Movie,Finding ʻOhana,Wall Street: Money Never Sleeps
34,Vixen!,Acrimony,Nice Sister-In-Law 2,Lady Chatterley's Lover,Torque,Emmanuelle: Queen of Sados,My Friend's Wife,Intrusion,Sister's Younger Husband,Young Sister-in-Law 3,The Girl Next Door 2,Mother's Friend 2,Dark Spell,The Next Three Days,Bizarre
35,Intrusion,Fireworks,Snotty Boy,Nekromantik,Young Sister-in-Law 3,30 Days of Night,The Domestics,Bone Tomahawk,Flower & Snake,The Painted Veil,Riders of Justice,Acrimony,Bizarre,The Frighteners,Dream House
36,Dark Spell,"Promiscuity, the Street Kids of Katia",Love to Kill,Killing Me Softly,Not Without My Daughter,Lady Chatterley's Lover,The World of Adultery,Ride or Die,In the Blood,Hell Baby,Camp X-Ray,Daughter of Darkness 2,Homebound,"sex, lies, and videotape",The Love Witch
37,Monster High: Freaky Fusion,Barbie in Princess Power,Mickey's Tale of Two Witches,My Hero Academia: World Heroes' Mission – Take-off,The Legend of the Galactic Heroes: Die Neue These Seiran 1,Barbie & Chelsea: The Lost Birthday,Kuroko's Basketball - Movie: Winter Cup - Shadow and Light,Naruto Shippuden: OVA Hashirama Senju vs Madara Uchiha,Space Pirate Captain Harlock,Kuroko's Basketball the Movie: Last Game,Cencoroll Connect,Save The Tree,Legend of the Galactic Heroes: Die Neue These - Intrigue 1,The Garden of Sinners: Future Gospel,Royal Space Force - The Wings Of Honneamise
