names,overview,TV_Movie,Adventure,Comedy,Fantasy,Romance,Family,History,Documentary,War,Crime,Drama,Horror,Thriller,Animation,Action,Science_Fiction,Mystery,Western,Music
Descendants of Adultery,"Soo-ji is a skin specialist who experiences retaliatory driving on her way to work and Captain Kwon helps her. Later, they meet at the hospital and start to feel attracted to each other. Soo-ji is tired of living a pretentious marriage life with her cheating husband and falls in love with Kwon...",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Apocalypse,"While Emperor Domitian persecutes the Christians, the aged apostle John has prophetic visions.",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Ben 10: Destroy All Aliens,"Based on the original animated series Ben 10.  Ben becomes targeted by an evil Mechamorph Warrior, named ""Retaliator,"" who mistakenly blames Ben for something he did not do and attempts to destroy all aliens.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Pil's Adventures,"Pil, a little vagabond girl, lives on the streets of the medieval city of Roc-en-Brume, along with her three tame weasels. She survives of food stolen from the castle of the sinister Regent Tristain. One day, to escape his guards, Pil disguises herself as a princess. Thus she embarks upon a mad, delirious adventure, together with Crobar, a big clumsy guard who thinks she's a noble, and Rigolin, a young crackpot jester. Pil is going to have to save Roland, rightful heir to the throne under the curse of a spell. This adventure will turn the entire kingdom upside down, and teach Pil that nobility can be found in all of us.",0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Misfits,"While filing for a divorce, beautiful ex-stripper Roslyn Taber ends up meeting aging cowboy-turned-gambler Gay Langland and former World War II aviator Guido Racanelli. The two men instantly become infatuated with Roslyn and, on a whim, the three decide to move into Guido's half-finished desert home together. When grizzled ex-rodeo rider Perce Howland arrives, the unlikely foursome strike up a business capturing wild horses.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Sword Art Online the Movie -Progressive- Scherzo of Deep Night,"Over a month has passed since 10,000 users were trapped inside the ""Sword Art Online"" world. Asuna, who cleared the first floor of the floating iron castle of Aincrad, joined up with Kirito and continued her journey to reach the top floor. With the support of female Information Broker Argo, clearing the floors seemed to be progressing smoothly, but conflict erupts between two major guilds who should be working together – the top player groups ALS (the Aincrad Liberation Squad) and DKB (the Dragon Knights Brigade). And meanwhile, behind the scenes exists a mysterious figure pulling the strings…",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Trespass,"Kyle and Sarah Miller have it all: a huge gated house on the water, fancy cars, and the potential for romance in their relationship. He's just back from a business trip and their teen daughter Avery is sneaking out to a party, when four thugs in security uniforms and ski masks stage a home invasion. They want what's in the safe: cash and diamonds. As Kyle stalls them, trying to negotiate for Sarah's freedom, the fault lines in Kyle and Sarah's marriage and the pasts of the four robbers come into play. Is there room here for heroism?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Gunman,"Eight years after fleeing the Congo following his assassination of that country's minister of mining, former assassin Jim Terrier is back, suffering from PTSD and digging wells to atone for his violent past. After an attempt is made on his life, Terrier flies to London to find out who wants him dead -- and why. Terrier's search leads him to a reunion with Annie, a woman he once loved, who is now married to an oily businessman with dealings in Africa.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
The Hard Way,"After learning of his brother's death during a mission in Romania, a former soldier joins two allies to hunt down a mysterious enemy and take his revenge.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Project A,"In late 19th Century Hong Kong the British may rule the land, but the pirates rule the waters. One Coast Guard officer is Dragon Ma, who is determined that his beloved Coast Guard will not be made a fool of.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fist Fight,"When one school teacher gets the other fired, he is challenged to an after-school fight.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lost Patient,The 19 years old Thomas wakes up in a hospital after three years in a coma. He doesn't remember anything. The psychologist Anna tells him that his family has been murdered and that he is the only survivor of the massacre while his sister Laura is still missing.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"Girl, Interrupted","Set in the changing world of the late 1960s, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brokedown Palace,"Best friends Alice and Darlene take a trip to Thailand after graduating high school. In Thailand, they meet a captivating Australian man, who calls himself Nick Parks. Darlene is particularly smitten with Nick and convinces Alice to take Nick up on his offer to treat the two of them to what amounts to a day trip to Hong Kong. In the airport, the girls are seized by the police and shocked to discover that one of their bags contains heroin.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Contagion,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
The Night Parade,"Paris - One night. A woman and a man meet in a restaurant. She is beautiful. He falls for her. She is shy, he is bewitched. He talks, she is cautious. He tries, she avoids. She hesitates, he insists. An intense relationship starts then. During the night, masks fall off and the seduction game gives in to sincere feelings. Will this love last over a night?",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meet the Robinsons,"Lewis, a brilliant young inventor, is keen on creating a time machine to find his mother, who abandoned him in an orphanage. Things take a turn when he meets Wilbur Robinson and his family.",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Blood,"Jess, a newly separated mother and nurse, moves into her old family farmhouse with Tyler, her teenage daughter, and Owen, her eight-year-old son. One night, the family dog senses something in the woods and runs off to find it. He returns a couple of days later and attacks Owen, savagely biting him before Jess is able to intervene. Owen is rushed to the hospital. His condition worsens, and no one can figure out why... until Jess discovers a disturbing cure...",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
The Lords of Salem,"Heidi, a radio DJ, is sent a box containing a record - a ""gift from the Lords"". The sounds within the grooves trigger flashbacks of her town's violent past. Is Heidi going mad, or are the Lords back to take revenge on Salem, Massachusetts?",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Arthur,Arthur is a 30-year-old child who will inherit $750 million if he complies with his family's demands and marries the woman of their choosing.,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
King Shakir Recycle,"Scientists trying to solve the environmental crisis of pollution devise a way to send the collected garbage into space via rocket ships. When this garbage starts to land on alien planets, the outraged aliens head to Earth for revenge. King Shakir and his family must do their best to protect the world from alien destruction.",0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Holes,A wrongfully convicted boy is sent to a brutal desert detention camp where he must dig holes in order to build character. What he doesn't know is that he is digging holes in order to search for a lost treasure hidden somewhere in the camp.,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Flatliners,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Lake Placid,"When a man is eaten alive by an unknown creature, the local Game Warden teams up with a paleontologist from New York to find the beast. Add to the mix an eccentric philanthropist with a penchant for ""Crocs"", and here we go! This quiet, remote lake is suddenly the focus of an intense search for a crocodile with a taste for live animals...and people!",0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Meet the Spartans,"The heroic Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag group of 13 Spartans to defend their homeland against the invading Persians (whose ranks include Ghost Rider, Rocky Balboa, the Transformers, and a hunchbacked Paris Hilton). No one is safe when the Spartans take on the biggest icons in pop culture!",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Great Mouse Detective,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
From Dusk Till Dawn 2: Texas Blood Money,"A gang of bank-robbing misfits heads to Mexico with the blueprints for the perfect million-dollar heist, but when one of the crooks wanders into the wrong bar... and crosses the wrong vampire... the thieving cohorts develop a thirst for blood!",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
End of the Road,Recently widowed mom Brenda fights to protect her family during a harrowing road trip when a murder and a missing bag of cash plunge them into danger.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Animal Instincts II,"An unhappy divorcée has the bad fortune to move next door to a security systems installer, a voyeur whose hobby is planting hidden video cameras in the bedrooms of all his clients. He then monitors the sex lives of his customers through an elaborate TV monitor system in his garage. Joanna Cole becomes his latest victim, but when she discovers the camera by accident, she reverts back to her exhibitionist ways and begins putting on sex shows for his pleasure. Things gets ugly when Jim professes his love for her but is rebuffed.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
LEGO Star Wars Holiday Special,"As her friends prep for a Life Day holiday celebration, Rey journeys with BB-8 on a quest to gain a deeper knowledge of the Force at a mysterious Jedi Temple. There, she embarks on a cross-timeline adventure through beloved moments in Star Wars history, coming into contact with iconic heroes and villains from all eras of the saga. But will she make it back in time for the Life Day feast?",0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Framed by My Husband,"A woman agrees to help her husband pay off an extortionist, but when the blackmailer is murdered she becomes the prime suspect, and discovers that the man she married has been leading a deadly double life.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Scream 2,"Away at college, Sidney thought she'd finally put the shocking murders that shattered her life behind her... until a copycat killer begins acting out a real-life sequel.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Purpose of Cohabitation,"Seung-gu and Yoon-hye enjoy the honeymoon. The photographer, Seung-gu, sells a glance with his senior cousin who is a neighbor cousin on his way to work. Yoon Hye, who has no hesitation in managing her body, goes to the gym for a workout and hears the breakup of Tae Joon, the PT in charge. Tae-jun, who was living in the girlfriend's house, is kicked out with a breakup, and to Tae-jun, where he can't go, Yoon-hye rents out a room for his newlyweds to cover the repair cost of the ride. Offer your own rent. And their purposeful cohabitation begins…",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Servant,"A servant falls in love with a girl whom his master also desires. Although the girl loves the servant, she also longs to improve her station in life.",0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Bachelor Party,"On the eve of his wedding to his longtime girlfriend, unassuming nice guy Rick is dragged out for a night of debauchery by his friends.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Taste of Hunger,"Maggie and Carsten love each other, they have two wonderful children and run their own gourmet restaurant; Malus. They want it all. And they have it all. Almost. They are missing the coveted Michelin Star. It has been their dream, on which they gambled everything to win. One day Carsten receives a letter saying that his wife loves somebody else. But who sent the letter and why? In their continuous passion and pursuit for the ultimate recognition, they forget that the meals of life are best enjoyed together.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Death Note: The Last Name,"In the second installment of the Death Note film franchise, Light Yagami meets a second Kira and faithful follower Misa Amane and her Shinigami named Rem. Light attempts to defeat L along with Teru Mikami (a Kira follower) and Kiyomi Takada (another Kira follower) but in the end will Light win? or will a Shinigami named Ryuk make all the difference in Light's victory or his ultimate death?",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
High School Musical,"Troy, the popular captain of the basketball team, and Gabriella, the brainy and beautiful member of the academic club, break all the rules of East High society when they secretly audition for the leads in the school's musical. As they reach for the stars and follow their dreams, everyone learns about acceptance, teamwork, and being yourself.",0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Bionicle: The Legend Reborn,"Once the ruler of an entire universe, the Great Spirit Mata Nui finds himself cast out of his own body, his spirit trapped inside the fabled Mask of Life, hurtling through space. After landing on the far-away planet of Bara Magna, the mask creates a new body for Mata Nui, who unwillingly gets caught up in the furious battles of the nearly barren and dangerous planet.",0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Deep Water,"Vic and Melinda Van Allen are a couple in the small town of Little Wesley. Their loveless marriage is held together only by a precarious arrangement whereby, in order to avoid the messiness of divorce, Melinda is allowed to take any number of lovers as long as she does not desert her family.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Barabbas,"Epic account of the thief Barabbas, who was pardoned for his crimes and spared crucifixion when Pilate offered the Israelites a choice to pardon Barabbas or Jesus. Struggling with his spirituality, Barabbas goes through many ordeals leading him to the gladiatorial arena, where he tries to win his freedom and confront his inner demons, ultimately becoming a follower of the man who was crucified in his place.",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Final: The Rapture,"A gritty, international tale of four separate stories woven together by a common theme: the Rapture.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bruce Lee: A Warrior's Journey,"Legendary martial artist Bruce Lee is the subject of this thoughtful documentary by Lee aficionado John Little. Using interviews, behind-the-scenes footage and action sequences from Lee's last (unfinished) film, Game of Death, Little paints a textured, complex portrait of the world's most famous action hero",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Troll,"When a family moves into a San Francisco apartment, an opportunistic troll decides to make his move and take possession of little Wendy (Jenny Beck), thereby paving the way for new troll recruits, the first in his army that will take eventual control of the planet. We soon discover Torok is the ex-husband of Eunice St. Clair, a resident in the building who was married to Torok.",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bambi II,"Return to the forest and join Bambi as he reunites with his father, The Great Prince, who must now raise the young fawn on his own. But in the adventure of a lifetime, the proud parent discovers there is much he can learn from his spirited young son.",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Starship Troopers: Traitor of Mars,"Federation trooper Johnny Rico is ordered to work with a group of new recruits on a satellite station on Mars, where giant bugs have decided to target their next attack.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Hell House LLC II: The Abaddon Hotel,"Eight years after the opening night tragedy of HELL HOUSE LLC, many unanswered questions remain. Thanks to an anonymous tip, an investigative journalist is convinced that key evidence is hidden inside the abandoned Abaddon Hotel. She assembles a team to break into the hotel in hopes of discovering the truth. But the source of the tip and the secrets of the Abaddon Hotel are more horrifying than any of them could have imagined.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Ten Commandments,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
The Day the Earth Stood Still,An alien and a robot land on Earth after World War II and tell mankind to be peaceful or face destruction.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Good Dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
